input	zero_digits	digit_order	cube	period	operation	length	sha256	ngram	ioc
forward	0	forward	standard	42	encrypt	919	acba9fc673cba4981da28edc64c2da946321eca7506092c28e31e72c9a7e4982	-13.248070198637434	0.03727884576633216
forward	0	forward	standard	43	decrypt	919	b78c267a3c8932a8bfd79dd2e2e70278b91bf2c12c5f1f001ca5cb8207adf7b7	-13.25068798823656	0.03718164813985079
forward	0	forward	standard	43	encrypt	919	fe43cfdf2bed682b644d954fe900988f4bae14a6504a8097d11cb236ca3e05a8	-13.248070198637434	0.036778633591025574
forward	0	forward	standard	44	decrypt	919	3df398e9f80c3b87ccb51f213a5bc30d8d06ff2c867f120b5a23f7f1c5196938	-13.244746484185772	0.0370820798395528
forward	0	forward	standard	44	encrypt	919	e6def71012ce2cb69e9936bf9b5416d840b94908432e7bae268ec3a50ee495c8	-13.245452409038311	0.03721009622565022
forward	0	forward	standard	45	decrypt	919	f9233f430a2be806b937ed8dfd374dd26b65eeaf2621730a5662e3350e555852	-13.237411128648342	0.036809452350641626
forward	0	forward	standard	45	encrypt	919	e80bd4f5f0194befe2acfee8f66a035692dc1790121b105f422037e83696d5cb	-13.245452409038311	0.037302552504498356
forward	0	forward	standard	46	decrypt	919	aa0122afe4368312b782bc67c68e685d55e37f73cde492fbf9c8f218972a979d	-13.23201311633144	0.03700621827742099
forward	0	forward	standard	46	encrypt	919	6fe6bf0e9ebf63704cfa2163bd83a19a0e23079cb870ec5b60fb1ea93e3c9471	-13.23618719053586	0.03689242593422328
forward	0	forward	standard	47	decrypt	919	9f76f13620ba57b4f50251e02e7e65a598f9bb2b530b06bc2c956f8304ca1477	-13.245452409038311	0.03739975013097973
forward	0	forward	standard	47	encrypt	919	ee02158d43a34693a1c615b43b1d5ae621ad20a48770f63a9cb0f9964ec14ded	-13.242834619439185	0.03704651973230351
forward	0	forward	standard	48	decrypt	919	62a58a54bb6aefee50894b327ab57edda855eb9057185da3d53e34698e941645	-13.237693210922465	0.03701095962505423
forward	0	forward	standard	48	encrypt	919	9872119744033f2053af3cedac3d3cf35741260d81a06f3c90d09520abdefaee	-13.24021682984006	0.03725750970198259
forward	0	forward	standard	49	decrypt	919	89330f6a5e2da0bd967adc8abbf790663d216784187aefb6ea5f3d24e7e4569c	-13.237599040240935	0.03666484124782787
forward	0	forward	standard	49	encrypt	919	64424325c8874577952c4ae70310deb007970ca45ce180b84e8b41304d6634fa	-13.236893115388398	0.03747561169311153
forward	0	forward	standard	50	decrypt	919	33e2026b3c3df61aace2a825fab86c2388c0225724521ccc9a563b759617b25b	-13.242834619439183	0.03700858895123761
forward	0	forward	standard	50	encrypt	919	93b6c8b73981f7f1fb9fb98d587714088d1a0b03d7aa528f8dc68a951b1d7b5a	-13.248070198637434	0.03736419002373045
forward	0	forward	standard	51	decrypt	919	e25b2ebcc0e6bc2fb9ba2744c783e5c6bcb513cde9889a7b96eb01774dacb1cd	-13.237411128648342	0.0370820798395528
forward	0	forward	standard	51	encrypt	919	39a7f37defead29a05d90c734dfc4f588ed662419ea5c155a811b6cb52a1dd35	-13.248070198637434	0.03727173374488231
forward	0	forward	standard	52	decrypt	919	a1c2e59598b2d6b180536d54636c624972a6aee9f83cb4e64d321ccb8a0a5a67	-13.242834619439183	0.037349965980830735
forward	0	forward	standard	52	encrypt	919	2a277c1306e922997c686779859efa588977bcc93eda7b2d59fc684a923ed56b	-13.23951090498752	0.03671462539797687
forward	0	forward	standard	53	decrypt	919	cb445a7df5549e1cc44c8b4f56d79b463a238115cd9bf09cd5ba6b9adb183cdd	-13.23951090498752	0.0371579414016846
forward	0	forward	standard	53	encrypt	919	5db5386393c054a5ef44afa5de60a9cbc4aee285ddbd82553e13f6bc4ec23c64	-13.23951090498752	0.037558585276693195
forward	0	forward	standard	54	decrypt	919	e38f7abf1a39fe88116bef56effd783d15f71a026c984a716ad1499cd7cee80e	-13.245452409038311	0.03749457708364448
forward	0	forward	standard	54	encrypt	919	47a2e5516bcd8ad1c3b22d93c1737cfe97e552b2f88ba411a60454ce50e7c0ad	-13.242834619439186	0.03727173374488231
forward	0	forward	standard	55	decrypt	919	f7aa245b6f1a9ac3485b38b9209fd4b10db1f4d45bddcbff20d735a4f6a00510	-13.228333821738486	0.03680471100300838
forward	0	forward	standard	55	encrypt	919	f4baa2f0612b299029371775f60dafd23b883f768138765c9748d07bb1a02dd6	-13.244746484185772	0.03663402248821183
forward	0	forward	standard	56	decrypt	919	9bce756f3eaf3f6d2a54dbab8bce75067cfe3b80842e4b7936358c3ffc534431	-13.248070198637434	0.036551048904630165
forward	0	forward	standard	56	encrypt	919	2d0e8867e800da9a1fa0e312b9b6f825dfd507e06e2f07a1f92c23f1b40ea73d	-13.242834619439185	0.03735470732846397
forward	0	forward	standard	57	decrypt	919	0a500b0ceca7661aeba1ce49599773bbf042cce588f3562ba5b4ce922bd98024	-13.236662726904818	0.03704889040612013
forward	0	forward	standard	57	encrypt	919	58815ee08b7834cdd22e3cff07508b0080ac4995ada00d07cacbff57eac56f03	-13.24170351471027	0.03725750970198259
forward	0	forward	standard	58	decrypt	919	94e35bbead6bfb2c98a138df1c959aacefa1077c1bd5030399a1b5d8b27926bc	-13.235762010659482	0.03720298420420036
forward	0	forward	standard	58	encrypt	919	d8b57a97c6128704426b9f13fae514172d41094292d4bc2d086d07266e64a203	-13.238804980134983	0.03679522830774191
forward	0	forward	standard	59	decrypt	919	20520e96240be33a349b5f3973b9ddb7c220258ef285cc437c8fbac25249b4ce	-13.235178488664467	0.03701095962505423
forward	0	forward	standard	59	encrypt	919	67eac238ec9c815ef236e5a5592aa3b4d4ab1addf70575ebc017ded2dbc5c7a8	-13.25068798823656	0.037193501508933885
forward	0	forward	standard	60	decrypt	919	8bcab49429d49dcdbbaf0c0c4888aca3991a23d7c69f7635369c09efb28fb8cd	-13.248070198637434	0.0372077255518336
forward	0	forward	standard	60	encrypt	919	48bf4a6ba214610dee9f76ca401d84e7e5703564cc0098bd2c15739361461f3c	-13.245452409038311	0.037302552504498356
forward	0	forward	standard	61	decrypt	919	5db97e1efeaa664aab3227cfd9f02443596c5e0530de3d73183e9b0f87960624	-13.242128694586647	0.036916132672389475
forward	0	forward	standard	61	encrypt	919	d5141da1d2d0e203389cfd4c52f44af1de2c63d9c19bd92a929945561bfe2f68	-13.242128694586645	0.037233802963816405
forward	0	forward	standard	62	decrypt	919	f6f6dc8cd38a70568d1b263176683b7206e8b8e375fc3bd3b6ad23d5f53313fd	-13.236893115388392	0.03676203887430925
forward	0	forward	standard	62	encrypt	919	cc3243193fde95163fafa22780cfcc342b7db6db37a085dc2c575f67c26191c0	-13.248070198637434	0.03692087402002271
